Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MEDICAL CARE CT,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MORRISOTWN MEMORIAL HOSPITAL,Medical,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CENTRAL MEDICAL IMAGING,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SJ SURGICAL ASSOCIAT ES,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COHEN MD SURGICAL AS SOC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAND SURGERY AND,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MORRIS SUSSEX FAMILY MEDICAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ST JOSEPH HOSPITAL W AYNE NJ,Medical,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ATLANTIC RADIOLOGIST /MITCHELL,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MITSUBISHI IMAGING,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EASERN DENTAL & PERI ODONTICS O,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUBURBAN PROF DENTAL GRP,PA.",Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KIMBLL MEDICAL CENTE R,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPARTA MEDICAL ASSOC,Medical,0,0,1,0,0,0,0,5,1,3,1,1,2,6,1,0
PEDIARIC ORTHOPEDIC,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DONAHUE SURGICAL GRP PA,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WESTWOOD ORAL SURGER ASSOC PA,Medical,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CHURCH HEALTHCARE LL C,Medical,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
NO VALEY ANESTHESIA,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CATHEDRAL HEALTHCARE SYSTEMS I,Medical,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJ HOSPITAL SYSTEM MILLVILLE,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEDIATRIC ORTHOPEDIC ASSOCIATE S,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NORTHFIELD SURGICAL ASSOCIATE S,Medical,3,5,6,1,1,6,5,1,0,0,0,0,0,0,0,0
CATHERDRAL HEALTHCAR SYSTEM,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRIOR MEDICAN INC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMIRATA SURGICAL ASC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ELIZABETH RADIOLOGY ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0
MILLENNIUM ANESTHESI,Medical,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
HILLSBOROUGH RADIOL OGY ASSOC,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BERLIN MEDICAL ASOC PA,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MID ATLANTIC ORTHOPE DIC,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ST.MICHAELS MEDICAL CT,Medical,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTHWEST CONVENANT MEDICAL C T,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL DIGNOSTICS A SSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAIRMOUNT DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EASTERN DENTAL OF HA MILTON LL C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATLANTIC DENTAL ASSO CIATION,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MEDICAL PARK IMAGAIN G,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L & K DENTAL,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOORE MEDICAL CORP,Medical,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
EASTERN DENTAL CNTR OF UNION,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL MORRISTOWN MEMORIAL,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSOC MORRISTOW,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Medical Imaging,Medical,211,242,64,59,14,3,37,2,0,0,0,0,0,0,0,0
COASTAL HEALTH CARE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYONE MEDICAL CENTE R,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ATLANTIC, AMBULATORY ANESTHESI A",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N J ANESTHESIA ASSOC,Medical,0,0,4,1,3,0,0,1,1,0,0,0,0,0,0,0
ALLCAREMEDICAL PAIN MAN GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SJ NEURODIAGNOSTIC A SSOC PC,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIFFSIDE PK IMAGING & DIAGNOS,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NEW JERSEY MEDICAL GROUP,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COMMUNTY MEDICAL CEN TER,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EASTERN ORTHOPEDIC A SSOCIATIO N,Medical,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
STRUCTURED HEALTHCAR E MANGEME N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALLEY ORAL SURGERY,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FAIR LAWN DENTAL ASSOCIATE S,Medical,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
MOORE MEDICAL CRP,Medical,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
HOSPITAL OF UNIV OF PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HAMILTON ORTHOPDC ASSO,Medical,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNION COUNTY ANESTHE SIIOLOGY,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHERRY HILL IMAGING/ SINGH,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SOUTH JERSEY SURGICA L ASSOC,Medical,3,3,3,2,6,1,0,0,0,0,0,0,0,0,0,0
IMAGING CENTER THE,Medical,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"ORTHOPEDIC ASSOC. OF NJ, PA",Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SUMMITY MEDICAL GROU P,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SJ HOSPITAL SYSTEMS,Medical,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WILPAGE MEDICAL EQUI PMENT,Medical,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HACKETTSTOWN DIAGNOS TIC IMAG,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBOY ANESTHESIA ASSOCIATE S,Medical,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ATL AMBULATORY ANETH SIA ASSOC L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MEDICAL HEALTH CTR,Medical,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SPECIALTY SURGERY OF MIDDLETW N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID JERSEY ANESTHE,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SUMMIT MEDICAL GROUP PA,Medical,10,2,0,0,19,74,14,1,13,2,0,0,1,1,0,0
UNIVERSITY MEDICAL C NTR AT PR I,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CENTER PRO DENTAL & ORAL HEAL,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UNIV ANESTHESIA ASSO,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COMPREHENSIVE MEDICA L PRACTIC E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALLCARE MEDICAL REHA BILIT GRO U,Medical,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MODERN DIAGNOSTIC PA THOLOGYCO N,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FLORENDO HEALTH CARE CENTER,Medical,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ORTHOPEDIC CENTER,Medical,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
DOCTORS RADIOLOGY CE NTER/RADI O,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA & PAIN MN GT GROUP L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GARDEN STATE SURGICA L CEN,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ABLE ORTHOPEDIC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTE FOR DIAGNO SIS AND,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CAPE ATLANTIC ORAL MAXILLOFA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NBIMC DEPT CARDIOTHO SURGERY,Medical,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
NWK IMAGING ASSOCIAT ES,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN IMAGING OF J.C,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MONTEFIORE MEDICAL C ENTER,Medical,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
MEMORIAL MEDICAL CEN TER SO,Medical,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
NEWARK IMAGING ASSOI ATES,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL CENTER OF MA RGATE,Medical,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
SURGICAL APPLIANCE A SSOCIATES,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ATRIUM MEDICAL ASSOC,Medical,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIZABETH SURGICAL G RP LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKCENSACK UNIVERSIT Y MEDICAL,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NO JERSEY SURGICAL G ROUP,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DISTINCTIVE DENTAL G ROUP,Medical,0,0,4,0,10,0,6,0,0,0,0,0,1,0,0,0
RADIOLOGIC ASSOC. OF NNJ,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMBULATORY CENTER FO R ENDOSOP Y,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
REGIONAL SURGICAL ASSOCS PA,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRINCETON RADIOLOGY ASSO,Medical,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL ORAL & MAXILLOFA CIAL ASSO C,Medical,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A L M/HUDSON ANESTHE SIA,Medical,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NORTHEASTERN HOSPITA L,Medical,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GARDEN STATE SURGICA L CENTER,Medical,0,0,2,0,1,4,1,6,0,2,0,0,0,1,0,0
PLASTIC SURGERY CENT ER OF,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EASTLANTIC DIAGNOSTI,Medical,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ANESTHESIA AND PAIN,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HAMILTON ORTHOPAEDIC S ASSOC,Medical,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HAMILTON PARK HEALTH CARE CENT E,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GARDEN STATE ORTHOPA EDICS/DIR U,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WHITE PLAINS HOSPITA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAVIEW ORTHOPEDIC & MEDICAL A,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UNIV RADIOLOGY GROUP,Medical,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
SEAVIEW ORTHOPEDIC & MED ASSOC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANIMAL MEDICAL CLINI C,Misc,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
NEW JERSEY ANESTHESI A PAUL VA I,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AMERICAN SURGICAL CE NTER OF W O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KINGSTON SURGICAL AS SOC,Medical,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
SYNERGY ANESTHESIA I NC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUDSON HOSPITAL OPCO,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAMAPO ANESTHESIOLOG ISTS PC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK CRESCENT HEALTH CARE & R F,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHINE MEDICAL/BONCUK CU,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PROF ORTHOPEDIC ASSO C,Medical,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED MEDICAL CENTE R/DANG,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LIFELINE MEDICAL ASS OC LLC,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CAPO MEDICAL ASSOCIA TES,Medical,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ENDO-SURGICENTER OF OL BRIDGE,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EWING MEDICAL ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTR. FOR DENTAL ORAL HLTH.,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JML MEDICAL CORP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EAST ORANGE VAH FED HOSPITAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A C MEDICAL CENTER,Medical,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLANTIC ORTHOPEDIC ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIMMET HEALTHCARE SERV GRP,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
JACKSON MEDICAL EQUI PMENT,Medical,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
WESTFIELD ORTHOPEDIC GRP,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL CTR OF OCEAN CTY,Medical,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3AHWAY ANESTHESIOLOG ISTS PA,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UMH/ GLO CO ANESTHES IA ASSOC,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SURGICAL SPECIALISTS OF NJ,Medical,0,0,0,1,2,0,0,0,0,0,0,6,0,2,0,0
VILAGE DENTAL,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JERSEY SHORE ANESTHE IOLOGY,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONTEMPORARY WOMENS MEDICAL C,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CONTEMPORARY WOMEN'S MEDICAL C,Medical,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FREEDOM MEDICAL SUPP LY/RAMOS,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HEALTH CARE ASSOICAT ES,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DELAWARE VALLEY MEDICAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTWOOD ANESTHESIA ASSOC P A,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ST MICHAELS MEDICAL CT,Medical,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
MC1 HEALTHCARE LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNION AVE DENTAL CTR PA,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
FAMILY ORTHOPAEDIC SPECIAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW JERSEY ANESTHESI A STONE C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
THE PLASTIC SURGERY GROUP PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LIVINGSTON ORTHOPAED IC GROUP P,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DEDICATED DENTALCARE,Medical,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LUTHERAN MEDICAL CEN TER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WESTFIELD PEDIATRIC DENTAL,Medical,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0
BASIC HOME HEALTHCAR E,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRINCETON SURGICAL A SSOC PC,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WOMENS HEALTH CARE A SSOCIATES,Medical,2,2,0,1,15,6,7,2,0,0,0,0,0,0,0,0
LANKENAU HOSPITAL,Medical,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
QUALITY DENTAL CARE PC,Medical,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,0
FAIR LAWN DENTAL ASO CIATES P. A,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AMBULATORY CTR FOR ENDOSCOPY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"POLLER DENTAL GRP, P .A-CLIFTO N",Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COSMETIC DENTAL ASSO CIATES,Medical,0,0,0,0,3,5,1,0,0,0,3,0,0,0,0,0
CHILDREN S DENTAL AR TS P A,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MID-JERSEY ANESTHESI A ASSOS,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE STAR DENTAL GROU P LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MEMORIAL MEDICAL CEN TER SO AM,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WINDSOR HEALTHCARE M ANAGEMENT,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
AMERICAN DENTAL GROU P,Medical,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
COMPREHENSIVE MEDICA L REHABIL I,Medical,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0
UNIVERSITY RADIOLOGY PA,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S.J. HOSPITAL BRIDGETON,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA CROUP OF ORANGE,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNITED MEDICAL CENTE R,Medical,0,0,0,0,16,15,4,9,0,0,0,0,0,0,0,0
SOUTH JERSEY ORTHOPA EDIC,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TH E HOSPITAL CTR AT ORANGE,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST PARK DENTAL ASS OCS PC,Medical,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
ANESTHESIA*PAIN MANA GROUP LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NJ AMBULATORYANESTHE SIACONSUL T,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST ORANGE ANIMAL S HOSPITAL,Misc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
METUCHEN DENTAL GROU P,Medical,4,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0
SELECT ANESTHESIA & PAIN MNGT,Medical,0,0,0,17,2,1,0,1,1,0,0,0,0,0,0,0
NEWTON IMAGING PA,Medical,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOWNSQUARE ORTHOPEDI C,Medical,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST PARK DENTAL ASSOCIATE,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RINKO ORTHOPEDIC APPLIANCE,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PROFESSIONAL ANESTHE SIA ASSOC,Medical,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ALLIED SURGICAL GROU P, PA",Medical,0,0,0,0,0,0,0,0,0,5,6,1,1,0,1,0
LIBERTY ANESTHISA & PAIN MANA,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALL SERVICE MEDICAL BILLING,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TRENTON ANESTHESOLGY ASSOC,Medical,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Q. ANESTHESIA ASSO C,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACKENSACK DENTAL ASSOC,Medical,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
SUMMERDALE DIAGNOSTI C,Medical,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
MID-ATLANTIC SURGICA L AASOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DENTAL ARTS OF SOUTH JERSEY,Medical,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0
DOWNTOWN DENTAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. J. AMBULATORY ANE STHESIA A S,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SUMMERDALE DIAGNOSTI CS/JEAN,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NEURO SURGERY PA,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACKSENSACK RADIOLOG Y,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SCHWARZ MEDICAL,Medical,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LIFELINE MEDICAL ASSOC,Medical,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
VALLEY MEDICAL SERVI CES ICU,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S J RADIOLOGY ASSOCI ATE,Medical,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCLEAR IMAGING SYST EM INC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST CLOUD HEALTH CARE CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
MERCER-BUCKS ORTHOPA EDICS PC,Medical,0,0,0,0,0,0,0,0,3,11,8,4,6,3,7,0
ST ELIZABETH HOSPITA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIV ANESTHESIA ASSO C,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGELWOOD HOSPITAL A ND MED CT R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OVERLOOK HOSPITAL EM P FED CRE D,Misc Lender,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNNELLS SPECIALIZED HOSPITAL,Medical,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
RESTON HOSPITAL CENT ER,Medical,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
UNITED HOSPITAL MEDI CAL CT,Medical,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLANTIC DENTAL ASSO,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEDICAL CENTER PRINCETON,Medical,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL SURGICAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORTHOPEDIC ASSOCIATE S OF,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
NORWALK ANESTHESIOLO GY,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AARON MEDICAL TRANSP ORTATION,Medical,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
OCEAN ANESTHESIA GRO UP,Medical,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0
ST AGNES HEALTHCARE INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"102 PLASTIC SURGICEN TER, P.A.",Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ELM COURT DENTAL ASS OCIATES,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NO-WEST SURGICAL,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MENORIAL MEDICAL CEN TER,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COHEN DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEDICAL TRANSCRIPTIO N TECHNOL O,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMBULEFF KYRIL,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOUNT SINAI DEPT OF ANESTHESI A,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P G H ANESTHESIOLOGY GROUP,Medical,10,1,11,3,1,1,0,0,0,0,1,0,0,0,0,0
ALLIED HEALTHCARE SE RVICES IN C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MONTCLAIR RADIOLOGY ASSOC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EYE DIAGNOSTIC & SUR,Medical,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0
BERGEN ORAL SURGERY GROUP PA,Medical,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
MIDWAY RADIOLOGY ASS OC,Medical,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R & R SURGICAL SVCS,Medical,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
